term,counts
covid,124922
19,89978
covid19,38934
people,20346
coronavirus,19661
vaccine,18824
us,18510
amp,16884
die,13173
pandemic,12514
longcovid,11849
get,11508
like,10731
new,10722
health,10636
one,9758
cases,9482
say,8914
vaccines,8562
still,8511
virus,8459
et,8356
und,8284
stop,8185
cnn,8107
know,7732
years,7618
long,7305
time,7198
would,7160
der,6865
est,6738
da,6568
2023,6528
deaths,6421
today,6413
many,6396
des,6376
il,6287
10,6174
kanekoathegreat,5966
das,5951
none,5919
2020,5879
also,5852
world,5819
twitter,5699
biden,5643
join,5575
even,5558
flu,5380
never,5342
du,5292
need,5290
news,5247
000,5238
without,5155
nicht,5081
di,4984
data,4979
good,4969
government,4898
china,4894
mask,4849
emergency,4790
well,4774
masks,4732
india,4732
take,4721
telegram,4714
could,4712
death,4704
see,4642
work,4624
ist,4586
think,4578
last,4570
pas,4554
banned,4530
taking,4499
go,4391
public,4385
pour,4289
via,4269
please,4226
got,4218
ich,4200
si,4185
24,4147
back,4140
na,4140
may,4133
link,4093
year,4064
vaccination,4062
re,4050
non,4035
much,4002
unvaxxed,3984
corona,3945
care,3930
said,3922
help,3901
since,3900
followers,3879
first,3875
cant,3872
right,3830
day,3798
vaxxed,3780
make,3765
je,3752
patients,3747
6000,3739
man,3678
risk,3659
going,3637
dr,3634
study,3633
died,3613
research,3601
mrna,3593
pandemia,3560
want,3557
11,3536
infection,3512
national,3507
zu,3481
casos,3474
medical,3419
really,3382
april,3365
let,3348
qui,3329
way,3275
due,3263
ctvnews,3227
money,3213
pfizer,3209
mit,3193
read,3193
une,3157
per,3154
made,3153
paper,3126
trump,3111
sie,3065
life,3020
post,3008
ne,3003
every,2991
vaccinated,2971
salud,2959
von,2950
days,2921
12,2911
gt,2910
real,2908
digital,2907
better,2900
2021,2899
use,2890
getting,2888
test,2879
keep,2852
state,2852
end,2842
mais,2837
vous,2818
safe,2796
everyone,2794
auch,2787
ca,2786
den,2779
ce,2756
country,2748
não,2735
thank,2727
click,2720
hospital,2716
another,2715
für,2707
sars,2701
lab,2678
disease,2672
media,2664
plus,2658
em,2657
science,2630
vacunas,2603
2022,2583
believe,2583
15,2582
cause,2580
